1768540685.567578 server started (47022): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1768540685.567602 on Darwin 25.2.0 Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:55 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T8103
1768540685.567610 using libevent 2.1.12-stable select
1768540685.567617 using utf8proc 2.11.2
1768540685.567622 using ncurses 6.5 20240427
1768540685.567736 input_key_build: 0x10e003 (PasteStart) is \033[200~
1768540685.567744 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1768540685.567775 input_key_build: 0x10e25b (F1) is \033OP
1768540685.567782 input_key_build: 0x10e25c (F2) is \033OQ
1768540685.567790 input_key_build: 0x10e25d (F3) is \033OR
1768540685.567796 input_key_build: 0x10e25e (F4) is \033OS
1768540685.567800 input_key_build: 0x10e25f (F5) is \033[15~
1768540685.567810 input_key_build: 0x10e260 (F6) is \033[17~
1768540685.567817 input_key_build: 0x10e261 (F7) is \033[18~
1768540685.567822 input_key_build: 0x10e262 (F8) is \033[19~
1768540685.567826 input_key_build: 0x10e263 (F9) is \033[20~
1768540685.567836 input_key_build: 0x10e264 (F10) is \033[21~
1768540685.567842 input_key_build: 0x10e265 (F11) is \033[23~
1768540685.567847 input_key_build: 0x10e266 (F12) is \033[24~
1768540685.567856 input_key_build: 0x10e267 (IC) is \033[2~
1768540685.567863 input_key_build: 0x10e268 (DC) is \033[3~
1768540685.567867 input_key_build: 0x10e269 (Home) is \033[1~
1768540685.567876 input_key_build: 0x10e26a (End) is \033[4~
1768540685.567884 input_key_build: 0x10e26b (NPage) is \033[6~
1768540685.567890 input_key_build: 0x10e26c (PPage) is \033[5~
1768540685.567895 input_key_build: 0x10e26d (BTab) is \033[Z
1768540685.567899 input_key_build: 0x10e26e (Up) is \033[A
1768540685.567904 input_key_build: 0x10e26f (Down) is \033[B
1768540685.567908 input_key_build: 0x10e270 (Left) is \033[D
1768540685.567912 input_key_build: 0x10e271 (Right) is \033[C
1768540685.567917 input_key_build: 0x10e272 (KP/) is /
1768540685.567926 input_key_build: 0x10e273 (KP*) is *
1768540685.567933 input_key_build: 0x10e274 (KP-) is -
1768540685.567938 input_key_build: 0x10e275 (KP7) is 7
1768540685.567949 input_key_build: 0x10e276 (KP8) is 8
1768540685.567957 input_key_build: 0x10e277 (KP9) is 9
1768540685.567962 input_key_build: 0x10e278 (KP+) is +
1768540685.567971 input_key_build: 0x10e279 (KP4) is 4
1768540685.567978 input_key_build: 0x10e27a (KP5) is 5
1768540685.567982 input_key_build: 0x10e27b (KP6) is 6
1768540685.567985 input_key_build: 0x10e27c (KP1) is 1
1768540685.567994 input_key_build: 0x10e27d (KP2) is 2
1768540685.568002 input_key_build: 0x10e27e (KP3) is 3
1768540685.568006 input_key_build: 0x10e27f (KPEnter) is \n
1768540685.568010 input_key_build: 0x10e280 (KP0) is 0
1768540685.568018 input_key_build: 0x10e281 (KP.) is .
1768540685.568025 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1768540685.568030 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1768540685.568039 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1768540685.568045 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1768540685.568049 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1768540685.568054 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1768540685.568057 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1768540685.568062 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1768540685.568068 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1768540685.568072 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1768540685.568076 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1768540685.568080 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1768540685.568090 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1768540685.568098 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1768540685.568103 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1768540685.568106 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1768540685.568114 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1768540685.568120 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1768540685.568125 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1768540685.568140 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1768540685.568143 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1768540685.568148 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1768540685.568153 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1768540685.568158 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1768540685.568161 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1768540685.568166 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1768540685.568171 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1768540685.568175 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1768540685.568179 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1768540685.568182 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1768540685.568187 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1768540685.568191 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1768540685.568194 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1768540685.568197 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1768540685.568202 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1768540685.568207 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1768540685.568210 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1768540685.568214 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1768540685.568218 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1768540685.568223 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1768540685.568227 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1768540685.568230 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1768540685.568235 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1768540685.568240 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1768540685.568245 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1768540685.568248 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1768540685.568253 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1768540685.568257 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1768540685.568262 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1768540685.568266 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1768540685.568269 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1768540685.568273 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1768540685.568279 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1768540685.568282 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1768540685.568286 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1768540685.568290 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1768540685.568295 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1768540685.568300 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1768540685.568303 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1768540685.568307 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1768540685.568310 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1768540685.568313 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1768540685.568317 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1768540685.568320 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1768540685.568323 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1768540685.568328 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1768540685.568332 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1768540685.568337 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1768540685.568341 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1768540685.568345 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1768540685.568349 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1768540685.568354 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1768540685.568357 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1768540685.568360 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1768540685.568365 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1768540685.568375 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1768540685.568380 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1768540685.568385 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1768540685.568390 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1768540685.568393 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1768540685.568396 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1768540685.568401 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1768540685.568405 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1768540685.568409 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1768540685.568413 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1768540685.568417 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1768540685.568421 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1768540685.568426 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1768540685.568431 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1768540685.568435 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1768540685.568438 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1768540685.568442 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1768540685.568446 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1768540685.568450 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1768540685.568454 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1768540685.568458 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1768540685.568462 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1768540685.568466 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1768540685.568470 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1768540685.568474 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1768540685.568478 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1768540685.568482 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1768540685.568485 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1768540685.568489 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1768540685.568493 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1768540685.568497 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1768540685.568501 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1768540685.568505 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1768540685.568509 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1768540685.568513 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1768540685.568517 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1768540685.568521 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1768540685.568525 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1768540685.568530 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1768540685.568534 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1768540685.568538 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1768540685.568542 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1768540685.568546 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1768540685.568550 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1768540685.568554 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1768540685.568557 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1768540685.568561 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1768540685.568566 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1768540685.568570 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1768540685.568574 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1768540685.568578 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1768540685.568582 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1768540685.568585 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1768540685.568592 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1768540685.568597 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
